flight_id,flight_type,flight_from,flight_from_airport,flight_to,flight_to_airport
RYR1121,B738,Birmingham Int'l,EGBB,Tenerife South (Reina Sofia),GCTS
RYR121,B738,London Gatwick,EGKK,Dublin Int'l,EIDW
RYR1260,B738,"Athens Int'l, Eleftherios Venizelos",LGAV,Orio al Serio Int'l,LIME
RYR1494,B738,Alicante,LEAL,Pardubice,LKPD
RYR1879,B738,"Thessaloniki Int'l, Makedonia",LGTS,Allgau,EDJA
RYR2131,B738,Manchester,EGCC,Arrecife (Lanzarote),GCRR
RYR2328,B738,Leeds Bradford Int'l,EGNM,Limoges-Bellegarde,LFBL
RYR2336,B738,London Stansted,EGSS,Poznań-Ławica,EPPO
RYR2547,B738,Malaga,LEMG,Stockholm-Skavsta,ESKN
RYR2622,B738,Ponta Delgada Joao Paulo II,LPPD,General Humberto Delgado Airport,LPPT
RYR2626,B738,Manchester,EGCC,Ibiza,LEIB
RYR2714,B738,Alicante,LEAL,London Gatwick,EGKK
RYR2829,B738,Reus,LERS,Brussels South Charleroi,EBCI
RYR2917,B738,Brussels,EBBR,Barcelona Int'l,LEBL
RYR2929,B738,Porto / Oporto,LPPR,Brussels,EBBR
RYR3101,B738,Amsterdam Schiphol,EHAM,Dublin Int'l,EIDW
RYR3186,B738,Barajas Int'l,LEMD,Manchester,EGCC
RYR3216,B738,Manchester,EGCC,Orio al Serio Int'l,LIME
RYR3541,B738,Eindhoven,EHEH,Ibiza,LEIB
RYR3712,B738,Faro,LPFR,Birmingham Int'l,EGBB
RYR1080,B738,London Stansted,EGSS,General Humberto Delgado Airport,LPPT
RYR1083,B738,General Humberto Delgado Airport,LPPT,Beauvais Tille,LFOB
RYR1126,B738,Santiago de Compostela,LEST,Tenerife South (Reina Sofia),GCTS
RYR1196,B738,"Athens Int'l, Eleftherios Venizelos",LGAV,Brussels South Charleroi,EBCI
RYR120,B738,Dublin Int'l,EIDW,London Gatwick,EGKK
RYR1212,B738,Birmingham Int'l,EGBB,Bydgoszcz Ignacy Jan Paderewski,EPBY
RYR1314,B738,Malaga,LEMG,Belfast Int'l,EGAA
RYR1791,B738,General Humberto Delgado Airport,LPPT,Luxembourg Int'l,ELLX
RYR1CL,B738,None,None,None,None
RYR202,B738,Dublin Int'l,EIDW,London Stansted,EGSS
RYR203,B738,"Athens Int'l, Eleftherios Venizelos",LGAV,None,None
RYR2154,B738,Birmingham Int'l,EGBB,Región de Murcia International Airport,LEMI
RYR2192,B738,London Southend,EGMC,Malaga,LEMG
RYR232,B738,London Stansted,EGSS,Fertilia (Alghero),LIEA
RYR2327,B738,Palma de Mallorca (or Son Sant Joan),LEPA,Leeds Bradford Int'l,EGNM
RYR2346,B738,Palma de Mallorca (or Son Sant Joan),LEPA,Newcastle,EGNT
RYR2376,B738,Edinburgh,EGPH,Berlin,EDDB
RYR2642,B738,London Stansted,EGSS,Riga Int'l,EVRA
RYR286,B738,London Stansted,EGSS,Palanga Int'l,EYPA
RYR2934,B738,Alicante,LEAL,Brussels,EBBR
RYR2985,B738,Brussels,EBBR,Valencia,LEVC
RYR30,B738,Int'l Katowice in Pyrzowice,EPKT,None,None
RYR3100,B738,Dublin Int'l,EIDW,Amsterdam Schiphol,EHAM
RYR3233,B738,Malaga,LEMG,Manchester,EGCC
RYR3441,B738,Manchester,EGCC,Palma de Mallorca (or Son Sant Joan),LEPA
RYR3542,B738,Ibiza,LEIB,Eindhoven,EHEH
RYR3659,B738,Malaga,LEMG,Bremen,EDDW
RYR4007,B738,Manchester,EGCC,Alicante,LEAL
RYR4047,B738,Malaga,LEMG,Copenhagen,EKCH
RYR4157,B738,Cork Int'l,EICK,Alicante,LEAL
RYR9113,B738,Paphos Int'l,LCPH,Kaunas Int'l,EYKA
RYR1129,B738,Gran Canaria Int'l,GCLP,Birmingham Int'l,EGBB
RYR118,B738,Dublin Int'l,EIDW,London Gatwick,EGKK
RYR1228,B738,Reus,LERS,Manchester,EGCC
RYR1345,B738,Arrecife (Lanzarote),GCRR,Shannon,EINN
RYR1393,B738,"Oslo, Gardermoen",ENGM,London Stansted,EGSS
RYR1767,B738,Faro,LPFR,East Midlands,EGNX
RYR1803,B738,Ioannis Kapodistrias Int'l,LGKR,London Stansted,EGSS
RYR1874,B738,London Stansted,EGSS,Nice Cote d'Azur,LFMN
RYR1882,B738,London Stansted,EGSS,General Humberto Delgado Airport,LPPT
RYR2012,B738,Gran Canaria Int'l,GCLP,Barajas Int'l,LEMD
RYR2061,B738,Barajas Int'l,LEMD,Palma de Mallorca (or Son Sant Joan),LEPA
RYR2162,B738,Birmingham Int'l,EGBB,Palma de Mallorca (or Son Sant Joan),LEPA
RYR2241,B738,Bologna (Guglielmo Marconi),LIPE,Manchester,EGCC
RYR2365,B738,Faro,LPFR,Vienna Int'l (Schwechat),LOWW
RYR2466,B738,London Stansted,EGSS,Szczecin,EPSC
RYR2525,B738,Goteborg,ESGG,Malaga,LEMG
RYR2564,B738,"Sandefjord, Torp",ENTO,Malaga,LEMG
RYR2576,B738,Eindhoven,EHEH,Malaga,LEMG
RYR2578,B738,Stockholm,ESOW,Malaga,LEMG
RYR2610,B738,"Athens Int'l, Eleftherios Venizelos",LGAV,None,None
RYR2645,B738,Riga Int'l,EVRA,London Stansted,EGSS
RYR3131,B738,London Stansted,EGSS,Paphos Int'l,LCPH
RYR3153,B738,Tenerife South (Reina Sofia),GCTS,East Midlands,EGNX
RYR3206,B738,Manchester,EGCC,Ciampino (Giovan Battista Pastine),LIRA
RYR3702,B738,El Matorral,GCFV,East Midlands,EGNX
RYR4026,B738,Hamburg,EDDH,Alicante,LEAL
RYR4030,B738,Leonardo da Vinci Int'l (Fiumicino Int'l),LIRF,Alicante,LEAL
RYR4058,B738,Hamburg,EDDH,Malaga,LEMG
RYR4117,B738,Región de Murcia International Airport,LEMI,Manchester,EGCC
RYR4204,B738,Glasgow Int'l,EGPF,Krakow Int'l,EPKK
RYR4331,B738,Tenerife South (Reina Sofia),GCTS,Manchester,EGCC
RYR4590,B738,Gran Canaria Int'l,GCLP,Santiago de Compostela,LEST
RYR4810,B738,Baden Airpark,EDSB,"Athens Int'l, Eleftherios Venizelos",LGAV
RYR551,B738,"Chania Int'l, Ioannis Daskalogiannis",LGSA,Vienna Int'l (Schwechat),LOWW
RYR5984,B738,Orio al Serio Int'l,LIME,Barajas Int'l,LEMD
RYR6014,B738,Eindhoven,EHEH,Sofia Airport,LBSF
