flight_id,flight_type,flight_from,flight_from_airport,flight_to,flight_to_airport
RYR1053,B738,Václav Havel Airport,LKPR,Edinburgh,EGPH
RYR1081,B738,General Humberto Delgado Airport,LPPT,London Stansted,EGSS
RYR1123,B738,Tenerife South (Reina Sofia),GCTS,Santiago de Compostela,LEST
RYR1270,B738,Orio al Serio Int'l,LIME,"Athens Int'l, Eleftherios Venizelos",LGAV
RYR1315,B738,Belfast Int'l,EGAA,Malaga,LEMG
RYR1495,B738,Pardubice,LKPD,Alicante,LEAL
RYR1878,B738,Allgau,EDJA,"Thessaloniki Int'l, Makedonia",LGTS
RYR206,B738,None,None,None,None
RYR2193,B738,Malaga,LEMG,London Southend,EGMC
RYR2329,B738,Limoges-Bellegarde,LFBL,Leeds Bradford Int'l,EGNM
RYR2623,B738,General Humberto Delgado Airport,LPPT,Ponta Delgada Joao Paulo II,LPPD
RYR2627,B738,Ibiza,LEIB,Manchester,EGCC
RYR2715,B738,London Gatwick,EGKK,Alicante,LEAL
RYR2928,B738,Brussels,EBBR,Porto / Oporto,LPPR
RYR3187,B738,Manchester,EGCC,Barajas Int'l,LEMD
RYR3217,B738,Orio al Serio Int'l,LIME,Manchester,EGCC
RYR323Y,B738,Manchester,EGCC,None,None
RYR3658,B738,Bremen,EDDW,Malaga,LEMG
RYR4006,B738,Alicante,LEAL,Manchester,EGCC
RYR4104,B738,Ben Gurion Int'l,LLBG,Paphos Int'l,LCPH
RYR4156,B738,Alicante,LEAL,Cork Int'l,EICK
RYR428,B738,Milan Rastislav Stefanik (Bratislava),LZIB,None,None
RYR4469,B738,Malaga,LEMG,East Midlands,EGNX
RYR4753,B738,Bristol Int'l,EGGD,Tenerife South (Reina Sofia),GCTS
RYR748,B738,Birmingham Int'l,EGBB,Gdansk Lech Walesa,EPGD
RYR7523,B738,Eindhoven,EHEH,Alicante,LEAL
RYR7543,B738,Barcelona Int'l,LEBL,Manchester,EGCC
RYR7724,B738,San Pablo,LEZL,Gran Canaria Int'l,GCLP
RYR793,B738,Marco Polo Int'l (Marco Polo Venice),LIPZ,London Stansted,EGSS
RYR8132,B738,London Stansted,EGSS,Gran Canaria Int'l,GCLP
RYR8241,B738,Marco Polo Int'l (Marco Polo Venice),LIPZ,Bristol Int'l,EGGD
RYR8288,B738,London Stansted,EGSS,Arrecife (Lanzarote),GCRR
RYR8322,B738,Valencia,LEVC,London Stansted,EGSS
RYR8343,B738,London Stansted,EGSS,Porto / Oporto,LPPR
RYR8363,B738,London Stansted,EGSS,San Pablo,LEZL
RYR8367,B738,Budapest Ferenc Liszt International Airport,LHBP,Barajas Int'l,LEMD
RYR8383,B738,Alicante,LEAL,London Stansted,EGSS
RYR8421,B738,Edinburgh,EGPH,El Matorral,GCFV
RYR8511,B738,Dublin Int'l,EIDW,Hamburg,EDDH
RYR8557,B738,Berlin,EDDB,Dublin Int'l,EIDW
RYR8706,B738,Palese Macchie,LIBD,Brussels South Charleroi,EBCI
RYR9114,B738,Kaunas Int'l,EYKA,Paphos Int'l,LCPH
RYR9134,B738,Beauvais Tille,LFOB,Porto / Oporto,LPPR
RYR9146,B738,Liverpool John Lennon,EGGP,Barcelona Int'l,LEBL
RYR9169,B738,Hamburg,EDDH,Palma de Mallorca (or Son Sant Joan),LEPA
RYR9176,B738,Ibiza,LEIB,Dublin Int'l,EIDW
RYR9304,B738,Edinburgh,EGPH,Girona-Costa Brava,LEGE
RYR936,B738,London Stansted,EGSS,Perpignan Rivesaltes,LFMP
RYR9388,B738,East Midlands,EGNX,Barcelona Int'l,LEBL
RYR9649,B738,Copernicus Wrocław,EPWR,Liverpool John Lennon,EGGP
RYR9852,B738,Cork Int'l,EICK,London Gatwick,EGKK
RYR9966,B738,Barajas Int'l,LEMD,Palermo Int'l (Punta Raisi Falcone-Borsellino),LICJ
RYR4087,B738,Faro,LPFR,Manchester,EGCC
RYR4266,B738,Dublin Int'l,EIDW,"Verona (Villafranca Int'l, Valerio Catullo)",LIPX
RYR4566,B738,Brussels South Charleroi,EBCI,Figari Sud Corse,LFKF
RYR4702,B738,Orio al Serio Int'l,LIME,Porto / Oporto,LPPR
RYR4977,B738,Casale,LIBR,London Stansted,EGSS
RYR4KF,B738,None,None,None,None
RYR501,B738,Palma de Mallorca (or Son Sant Joan),LEPA,Vienna Int'l (Schwechat),LOWW
RYR5159,B738,Newcastle,EGNT,Malaga,LEMG
RYR5560,B738,Valencia,LEVC,Nantes Atlantique,LFRS
RYR5573,B738,Bydgoszcz Ignacy Jan Paderewski,EPBY,Edinburgh,EGPH
RYR591,B738,Malaga,LEMG,Vienna Int'l (Schwechat),LOWW
